country_code,subdivision_name,code,country_name,combined_name,location_normalized,latitude,longitude,place_id
AZ,Barda,AZ-BAR,Azerbaijan,"Barda, Azerbaijan",Barda,40.3706555,47.1378909,ChIJ3RBiNjDTPkARmdQbBnE1xC0
AZ,Beylaqan,AZ-BEY,Azerbaijan,"Beylaqan, Azerbaijan",Ardabil Province,39.8120164,47.6488109,ChIJXTBN8ZwTPEARZuVxGcAGxMY
AZ,Bilasuvar,AZ-BIL,Azerbaijan,"Bilasuvar, Azerbaijan",Bilasuvar,39.4598833,48.5509813,ChIJYVKnzky7PEARhd8KOp1Uvuo
AZ,Calilabad,AZ-CAL,Azerbaijan,"Calilabad, Azerbaijan",Ardabil Province,39.218442,48.4295146,ChIJm6hBZ2bMPEARniMgnoU12h4
AZ,Daskasan,AZ-DAS,Azerbaijan,"Daskasan, Azerbaijan",Dashkasan,40.5202257,46.0779304,ChIJQbyHcm1mP0ARhhTXZubTirU
AZ,Fuzuli,AZ-FUZ,Azerbaijan,"Fuzuli, Azerbaijan",Ardabil Province,39.5378605,47.3033877,ChIJxa8EdU20PUARNtA-N0DQqUo
AZ,Gadabay,AZ-GAD,Azerbaijan,"Gadabay, Azerbaijan",Gadabay,40.5699639,45.8106883,ChIJpYlc2SidQEARvOanf1F5NT8
AZ,Ganca,AZ-GA,Azerbaijan,"Ganca, Azerbaijan",Ganja,40.6878581,46.3723313,ChIJkZlajf1QP0ARaQnFYGVTP74
AZ,Goranboy,AZ-GOR,Azerbaijan,"Goranboy, Azerbaijan",Goranboy,40.6073164,46.7807131,ChIJsYRY3AnLOEARVqHFWD8mvts
AZ,Goycay,AZ-GOY,Azerbaijan,"Goycay, Azerbaijan",Goychay,40.6236168,47.7403034,ChIJGeoqjCoEOUARkWhmYuCz_nM
AZ,Goygol,AZ-GYG,Azerbaijan,"Goygol, Azerbaijan",Goygol,40.5895257,46.3271378,ChIJceLPqUZEP0ARvKtDpplhYUU
AZ,Haciqabul,AZ-HAC,Azerbaijan,"Haciqabul, Azerbaijan",Hajiqabul,40.039377,48.9202533,ChIJNfYfn2SqO0ARJa5IhETfIL0
AZ,Imisli,AZ-IMI,Azerbaijan,"Imisli, Azerbaijan",Imishli,39.8694686,48.0665218,ChIJS2FapA12PEARW1bHid0UANc
AZ,Kurdamir,AZ-KUR,Azerbaijan,"Kurdamir, Azerbaijan",Kurdamir,40.3698651,48.1644626,ChIJ022vjM1iOUARim5jxRls07M
AZ,Lankaran,AZ-LA,Azerbaijan,"Lankaran, Azerbaijan",Lankaran,38.7528669,48.8475015,ChIJh_5lvIf_IkARQDfVJHUkIi4
AZ,Masalli,AZ-MAS,Azerbaijan,"Masalli, Azerbaijan",Masally,39.0340722,48.6589354,ChIJe-dJ-BsjI0ARpJg8Ffjeop4
AZ,Naftalan,AZ-NA,Azerbaijan,"Naftalan, Azerbaijan",Goranboy,40.5075632,46.8239786,ChIJPws_y3YtP0AR5aM39BS0ghk
