Active,Admin2,Confirmed,Country_Region,Date,Deaths,FIPS,Lat,Long_,Recovered,﻿Province/State
,,1,Australia,2020-03-13,0,,-12.4634,130.8456,0,Northern Territory
,,5,US,2020-03-13,0,,32.3182,-86.9023,0,Alabama
,,141,Slovenia,2020-03-13,0,,46.1512,14.9955,0,
,,155,Finland,2020-03-13,0,,61.9241,25.7482,1,
,,24,South Africa,2020-03-13,0,,-30.5595,22.9375,0,
,,13,Bosnia and Herzegovina,2020-03-13,0,,43.9159,17.6791,0,
,,86,Saudi Arabia,2020-03-13,0,,23.8859,45.0792,1,
,,1,Cote d'Ivoire,2020-03-13,0,,7.54,-5.5471,0,
,,34,Luxembourg,2020-03-13,0,,49.8153,6.1296,0,
,,23,Costa Rica,2020-03-13,0,,9.7489,-83.7534,0,
,,29,Canada,2020-03-13,0,,53.9333,-116.5765,0,Alberta
,,1,Bhutan,2020-03-13,0,,27.5142,90.4336,0,
,,5232,Spain,2020-03-13,133,,40.4637,-3.7492,193,
,,197,Malaysia,2020-03-13,0,,4.2105,101.9758,26,
,,1,Holy See,2020-03-13,0,,41.9029,12.4534,0,
,,35,Serbia,2020-03-13,0,,44.0165,21.0059,0,
,,2,Cameroon,2020-03-13,0,,3.848,11.5021,0,
,,32,Slovakia,2020-03-13,0,,48.669,19.699,0,
,,1,Togo,2020-03-13,0,,8.6195,0.8248,0,
,,28,Peru,2020-03-13,0,,-9.19,-75.0152,0,
,,89,Romania,2020-03-13,0,,45.9432,24.9668,7,
,,12,Mexico,2020-03-13,0,,23.6345,-102.5528,4,
,,13,Colombia,2020-03-13,0,,4.5709,-74.2973,0,
,,21,US,2020-03-13,0,,37.64894,-122.665479,0,Grand Princess
,,37,Brunei,2020-03-13,0,,4.5353,114.7277,0,
,,3,Martinique,2020-03-13,0,,14.6415,-61.0242,0,
,,5,French Guiana,2020-03-13,0,,3.9339,-53.1258,0,
,,12,Malta,2020-03-13,0,,35.9375,14.3754,1,
,,6,Paraguay,2020-03-13,0,,-23.4425,-58.4438,0,
,,6,Moldova,2020-03-13,0,,47.4116,28.3699,0,
,,9,Maldives,2020-03-13,0,,3.2028,73.2207,0,
,,23,Bulgaria,2020-03-13,1,,42.7339,25.4858,0,
,,16,Tunisia,2020-03-13,0,,33.8869,9.5375,0,
,,14,Cyprus,2020-03-13,0,,35.1264,33.4299,0,
,,1,US,2020-03-13,0,,61.370716,-152.404419,0,Alaska
,,9,US,2020-03-13,0,,33.729759,-111.431221,1,Arizona
,,6,US,2020-03-13,0,,34.969704,-92.373123,0,Arkansas
,,282,US,2020-03-13,4,,36.116203,-119.681564,6,California
,,49,US,2020-03-13,0,,39.059811,-105.311104,0,Colorado
,,11,US,2020-03-13,0,,41.597782,-72.755371,0,Connecticut
,,4,US,2020-03-13,0,,39.318523,-75.507141,0,Delaware
,,10,US,2020-03-13,0,,38.897438,-77.026817,0,District of Columbia
,,50,US,2020-03-13,2,,27.766279,-81.686783,0,Florida
,,42,US,2020-03-13,1,,33.040619,-83.643074,0,Georgia
,,2,US,2020-03-13,0,,21.094318,-157.498337,0,Hawaii
,,1,US,2020-03-13,0,,44.240459,-114.478828,0,Idaho
,,46,US,2020-03-13,0,,40.349457,-88.986137,2,Illinois
,,13,US,2020-03-13,0,,39.849426,-86.258278,0,Indiana
,,17,US,2020-03-13,0,,42.011539,-93.210526,0,Iowa
,,5,US,2020-03-13,1,,38.5266,-96.726486,0,Kansas
,,14,US,2020-03-13,0,,37.66814,-84.670067,0,Kentucky
,,36,US,2020-03-13,0,,31.169546,-91.867805,0,Louisiana
,,1,US,2020-03-13,0,,44.693947,-69.381927,0,Maine
,,18,US,2020-03-13,0,,39.063946,-76.802101,0,Maryland
,,123,US,2020-03-13,0,,42.230171,-71.530106,1,Massachusetts
,,16,US,2020-03-13,0,,43.326618,-84.536095,0,Michigan
,,14,US,2020-03-13,0,,45.694454,-93.900192,0,Minnesota
,,1,US,2020-03-13,0,,32.741646,-89.678696,0,Mississippi
,,2,US,2020-03-13,0,,38.456085,-92.288368,0,Missouri
,,1,US,2020-03-13,0,,46.921925,-110.454353,0,Montana
,,13,US,2020-03-13,0,,41.12537,-98.268082,0,Nebraska
,,17,US,2020-03-13,0,,38.313515,-117.055374,0,Nevada
,,6,US,2020-03-13,0,,43.452492,-71.563896,0,New Hampshire
,,29,US,2020-03-13,1,,40.298904,-74.521011,0,New Jersey
,,10,US,2020-03-13,0,,34.840515,-106.248482,0,New Mexico
,,421,US,2020-03-13,0,,42.165726,-74.948051,0,New York
,,17,US,2020-03-13,0,,35.630066,-79.806419,0,North Carolina
,,1,US,2020-03-13,0,,47.528912,-99.784012,0,North Dakota
